GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.capitalone.dashboard:nfrr-audit-collector,com.capitalone.dashboard,Application,8,0,0,0,3,0,2,0,2,0
com.capitalone.dashboard:nfrr-audit-collector,com.capitalone.dashboard.collector,AuditCollectorUtil.AUDIT_PARAMS,78,0,0,0,1,0,4,0,4,0
com.capitalone.dashboard:nfrr-audit-collector,com.capitalone.dashboard.collector,AuditSettings,49,17,2,0,21,7,13,5,12,5
com.capitalone.dashboard:nfrr-audit-collector,com.capitalone.dashboard.collector,AuditCollector,0,34,0,0,0,10,0,3,0,3
com.capitalone.dashboard:nfrr-audit-collector,com.capitalone.dashboard.collector,AuditCollectorUtil,1231,391,137,15,248,69,99,24,24,23
com.capitalone.dashboard:nfrr-audit-collector,com.capitalone.dashboard.collector,AuditCollectorTask,103,33,2,0,22,10,5,4,4,4
com.capitalone.dashboard:nfrr-audit-collector,com.capitalone.dashboard.model,AuditStatus,44,39,4,0,4,4,5,2,3,2
com.capitalone.dashboard:nfrr-audit-collector,com.capitalone.dashboard.model,DataStatus,44,59,4,0,4,6,5,2,3,2
com.capitalone.dashboard:nfrr-audit-collector,com.capitalone.dashboard.model,Audit,11,44,0,0,5,15,3,10,3,10
